"ESTU","CUES","CCAA","PROV","MUN","TAMUNI","CAPITAL","DISTR","SECCION","ENTREV","P0","P0A","P1","P2","P3","P4","P5","P6","P7","P8","P901","P902","P903","P1001","P1002","P1003","P11","P11A","P12","P13","P14","P14A","P15","P15A","P16","P16A","P1701","P1702","P1703","P1704","P1705","P1706","P18","P1901","P1902","P1903","P1904","P1905","P1906","P20","P20A","P21","P22","P23","P24","P2501","P2502","P2503","P2504","P2505","P2506","P26","P27","P27A","P27B","P27C","P27D","P27E","P27F","P28","P29","P30","P31","P32","P32A","P33","P33A","P34","P34A","P35","P36","P37","P38","P38A","P39","P40","P41","P42","P4301","P4302","P4303","P4304","P4305","P4401","P4402","P4403","P4404","P4405","P4501","P4502","P4503","P4504","P4505","P46","P47","P48","P49","I1","I2","I3","I4","I5","I6","I7","I8","I9","E101","E102","E103","E2","E3","E4","C1","C1A","C2","C2A","C2B","C3","C4","P20R","P20AR","P21R","VOTOSIMG","P27AR","RECUERDO","P29R","P27DR","ESTUDIOS","OCUMAR11","RAMA09","CONDICION11","ESTATUS"
3247,597,9,8,245,5,3,0,0,0,1,NA,4,2,8,4,8,5,3,2,8,1,6,1,8,99,5,98,5,3,2,NA,3,NA,1,NA,5,5,5,5,5,6,6,99,99,99,99,99,99,2,98,NA,3,3,5,98,98,98,98,98,98,2,1,2,1,1,NA,NA,NA,8,97,1,42,3,4,9,NA,2,1,1,4,723,1,3,43,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,2,3,999,7,1,1,2,2,999,3,4,5,19,6,13,2,1,NA,1,NA,NA,1,0,2,98,NA,2,2,2,97,NA,3,7,3,9,4
3247,598,9,8,245,5,3,0,0,0,1,NA,4,1,2,3,2,4,3,2,1,8,6,1,99,99,5,3,2,5,8,NA,2,95,1,NA,2,3,4,5,3,7,5,7,0,0,3,2,0,2,97,NA,3,3,4,4,8,5,2,2,9,2,1,2,1,1,NA,NA,NA,2,97,2,54,3,2,6,NA,1,NA,2,7,712,1,3,43,99,1,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,2,4,999,4,999,999,1,4,999,3,4,5,19,6,13,2,1,NA,1,NA,NA,1,0,2,97,NA,2,2,2,97,NA,2,7,3,11,4
3247,599,9,8,245,5,3,0,0,0,1,NA,4,2,8,2,2,5,3,3,6,22,9,97,99,99,4,5,7,1,1,21,2,3,2,2,1,1,9,9,1,5,3,5,0,0,9,9,0,6,97,NA,3,3,2,5,9,8,2,2,10,2,1,6,3,8,NA,NA,NA,2,8,2,35,3,9,6,NA,1,NA,1,1,121,1,3,31,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,1,5,999,2,999,999,999,1,999,999,4,5,19,6,13,2,1,NA,1,NA,NA,1,0,6,97,NA,6,6,6,8,NA,6,1,2,1,1
3247,600,9,8,245,5,3,0,0,0,1,NA,3,3,2,3,2,3,2,1,1,6,16,97,99,99,4,5,5,4,8,NA,8,NA,1,NA,1,1,5,5,1,5,7,98,98,98,98,98,98,9,8,NA,4,4,4,98,98,98,98,98,98,2,1,9,1,1,NA,NA,NA,2,97,2,85,3,2,2,2,1,NA,2,2,815,1,3,13,99,99,2,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,2,6,999,1,999,999,1,1,999,1,4,5,19,6,15,2,1,NA,1,NA,NA,1,0,9,8,NA,9,9,9,97,NA,2,8,2,8,4
3247,601,9,8,245,5,3,0,0,0,1,NA,3,2,1,3,2,4,2,2,18,13,8,97,99,99,3,4,3,5,8,NA,2,5,2,4,1,4,98,4,4,4,4,99,99,99,99,99,99,4,2,NA,3,3,5,4,8,5,2,1,8,2,1,4,1,8,NA,NA,NA,2,97,1,47,3,4,2,1,1,NA,1,1,724,1,3,43,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,2,1,7,1,8,1,2,999,8,999,3,4,5,19,6,13,2,1,NA,1,NA,NA,1,0,4,2,NA,4,4,4,97,NA,3,7,3,6,4
3247,602,9,8,0,4,3,0,0,0,1,NA,3,2,1,3,1,3,2,2,1,11,99,22,9,8,11,98,4,4,1,21,3,NA,1,NA,1,2,2,4,3,5,6,5,0,0,5,5,0,96,NA,2,4,3,3,3,8,8,2,2,10,3,1,96,NA,NA,NA,NA,NA,2,2,2,24,3,11,5,NA,2,1,2,1,361,1,3,69,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,1,1,1,999,13,11,999,2,999,1,999,8,5,19,3,22,2,1,NA,1,NA,NA,1,0,96,NA,2,96,96,96,2,NA,6,3,4,2,2
3247,603,9,8,0,4,3,0,0,0,1,NA,3,1,1,3,1,2,1,1,1,6,22,22,8,6,3,98,3,4,8,NA,2,5,1,NA,98,7,7,8,9,7,5,6,0,9,0,0,0,4,2,NA,3,1,2,4,8,7,1,1,9,2,1,4,1,1,NA,NA,NA,2,4,1,40,3,12,2,1,1,NA,1,1,243,1,3,24,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,2,1,1,2,999,18,14,999,2,999,1,1,8,5,19,3,19,2,1,NA,1,NA,NA,1,0,4,2,NA,4,4,4,4,NA,6,2,2,2,1
3247,604,9,8,0,4,3,0,0,0,1,NA,3,1,1,3,1,3,1,1,11,1,6,9,8,22,6,98,5,3,1,2,2,5,1,NA,1,1,6,6,1,10,5,10,0,0,4,4,0,2,3,NA,4,3,3,3,10,10,2,2,10,1,1,2,1,1,NA,NA,NA,2,2,1,31,3,4,2,1,1,NA,1,1,921,1,3,81,5,5,9,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,1,1,3,999,18,24,2,5,999,3,4,8,5,19,3,22,2,1,NA,1,NA,NA,1,0,2,6,NA,2,2,2,2,NA,3,9,4,7,5
3247,605,9,8,0,4,3,0,0,0,1,NA,3,1,1,4,2,3,1,1,1,6,3,1,8,16,4,98,4,2,1,21,1,3,2,3,5,5,8,6,5,7,3,5,0,0,5,10,0,3,5,NA,4,7,3,4,10,10,3,3,10,3,1,21,1,1,NA,NA,NA,8,3,1,22,3,7,6,NA,2,1,2,1,751,1,3,24,99,99,1,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,1,1,1,4,999,10,6,2,2,999,2,1,8,5,19,3,24,2,1,NA,1,NA,NA,1,0,6,6,NA,6,6,6,3,NA,5,7,2,6,4
3247,606,9,8,0,4,3,0,0,0,1,NA,3,1,1,3,2,2,1,1,12,1,8,12,8,99,6,98,7,4,1,2,1,5,1,NA,1,4,5,6,5,8,5,10,0,0,0,0,0,2,3,NA,4,5,3,3,9,9,3,3,10,1,1,2,1,1,NA,NA,NA,1,2,2,70,3,2,2,2,4,1,1,2,530,4,NA,96,3,3,3,NA,NA,NA,NA,NA,"-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ","-  ",2,2,1,1,5,999,28,27,4,10,11,2,1,8,5,19,3,19,3,1,NA,1,NA,NA,1,0,2,6,NA,2,2,2,2,NA,2,5,4,8,3
